JournalTitle	JrId	NlmId	IsoAbbr	MedAbbr	ISSN (Print)	ISSN (Online)
Journal of child and family nursing	21464	9892302	J Child Fam Nurs	J Child Fam Nurs	1098-7134	
Mycotaxon	21465	9876348	Mycotaxon		0093-4666	
The international journal of psychiatric nursing research	21467	9508871	Int J Psychiatr Nurs Res	Int J Psychiatr Nurs Res	0968-0624	
Journal of child health care : for professionals working with children in the hospital and community	21468	9806360	J Child Health Care	J Child Health Care	1367-4935	1741-2889
Journal de la Societe de biologie	21469	100890617	J. Soc. Biol.	J Soc Biol	1295-0661	1760-6128
Acta botanica Gallica : bulletin de la Societe botanique de France	21470	100955707	Acta Bot. Gall.	Acta Bot Gallica	1253-8078	
Manual therapy	21473	9610924	Man Ther	Man Ther	1356-689X	1532-2769
Nursing leadership forum	21475	9503422	Nurs Leadersh Forum	Nurs Leadersh Forum	1076-1632	
Hypertension in pregnancy	21476	9421297	Hypertens Pregnancy	Hypertens Pregnancy	1064-1955	1525-6065
The Canadian journal of clinical pharmacology = Journal canadien de pharmacologie clinique	21477	9804162	Can J Clin Pharmacol	Can J Clin Pharmacol	1198-581X	
MMW Fortschritte der Medizin	21478	100893959	MMW Fortschr Med	MMW Fortschr Med	1438-3276	1613-3560
Journal of tissue viability	21481	9306822	J Tissue Viability	J Tissue Viability	0965-206X	
Genes and immunity	21482	100953417	Genes Immun.	Genes Immun	1466-4879	1476-5470
Advanced drug delivery reviews	21484	8710523	Adv. Drug Deliv. Rev.	Adv Drug Deliv Rev	0169-409X	1872-8294
Ambulatory surgery	21485	9431866	Ambul. Surg.	Ambul Surg	0966-6532	
Applied animal behaviour science	21487	8504276	Appl. Anim. Behav. Sci.	Appl Anim Behav Sci	0168-1591	
Aquatic toxicology (Amsterdam, Netherlands)	21488	8500246	Aquat. Toxicol.	Aquat Toxicol	0166-445X	1879-1514
Biochemical education	21489	7507917	Biochem. Educ.	Biochem Educ	0307-4412	
Behavioural processes	21490	7703854	Behav. Processes	Behav Processes	0376-6357	1872-8308
Cardiovascular radiation medicine	21493	100888865	Cardiovasc. Radiat. Med.	Cardiovasc Radiat Med	1522-1865	
Clinical eye and vision care	21494	8913422	Clin. Eye Vis. Care	Clin Eye Vis Care	0953-4431	
Clinical positron imaging : official journal of the Institute for Clinical P.E.T	21496	9810966	Clin. Positron Imaging	Clin Positron Imaging	1095-0397	
The International journal on drug policy	21498	9014759	Int. J. Drug Policy	Int J Drug Policy	0955-3959	1873-4758
Environmental and experimental botany	21499	7610775	Environ. Exp. Bot.	Environ Exp Bot	0098-8472	
European journal of internal medicine	21500	9003220	Eur. J. Intern. Med.	Eur J Intern Med	0953-6205	1879-0828
Environmental microbiology	21501	100883692	Environ. Microbiol.	Environ Microbiol	1462-2912	1462-2920
Journal of women's health & gender-based medicine	21502	100888719	J Womens Health Gend Based Med	J Womens Health Gend Based Med	1524-6094	
Journal of neurologic rehabilitation	21503	8804109	Neurorehabil. Neural Repair	J Neurol Rehabil	0888-4390	
International journal of systematic and evolutionary microbiology	21505	100899600	Int. J. Syst. Evol. Microbiol.	Int J Syst Evol Microbiol	1466-5026	1466-5034
Evolution and human behavior : official journal of the Human Behavior and Evolution Society	21506	9709475	Evol. Hum. Behav.	Evol Hum Behav	1090-5138	
Environmental toxicology and pharmacology	21507	9612020	Environ. Toxicol. Pharmacol.	Environ Toxicol Pharmacol	1382-6689	1872-7077
Fitoterapia	21508	16930290R	Fitoterapia	Fitoterapia	0367-326X	1873-6971
European journal of heart failure	21509	100887595	Eur. J. Heart Fail.	Eur J Heart Fail	1388-9842	1879-0844
Hepatology research : the official journal of the Japan Society of Hepatology	21510	9711801	Hepatol. Res.	Hepatol Res	1386-6346	1872-034X
International contact lens clinic (New York, N.Y.)	21511	8805638	Int. Contact Lens Clin.	Int Contact Lens Clin	0892-8967	
Integrative medicine : integrating conventional and alternative medicine	21513	9810962	Integr. Med.	Integr Med	1096-2190	
Journal of experimental marine biology and ecology	21514	9879543	J. Exp. Mar. Biol. Ecol.	J Exp Mar Bio Ecol	0022-0981	
The Journal of nutritional biochemistry	21515	9010081	J. Nutr. Biochem.	J Nutr Biochem	0955-2863	1873-4847
Pathophysiology : the official journal of the International Society for Pathophysiology / ISP	21518	9433813	Pathophysiology	Pathophysiology	0928-4680	
Primary care update for Ob/Gyns	21519	9431228	Prim. Care Update Ob Gyns	Prim Care Update Ob Gyns	1068-607X	
Progress in pediatric cardiology	21520	9209539	Prog. Pediatr. Cardiol.	Prog Pediatr Cardiol	1058-9813	
Process biochemistry (Barking, London, England)	21521	9211419	Process Biochem	Process Biochem	1359-5113	1873-3298
Parkinsonism & related disorders	21522	9513583	Parkinsonism Relat. Disord.	Parkinsonism Relat Disord	1353-8020	1873-5126
Small ruminant research : the journal of the International Goat Association	21524	9885624	Small Rumin. Res.	Small Rumin Res	0921-4488	
Journal of stored products research	21525	0144220	J Stored Prod Res	J Stored Prod Res	0022-474X	
Journal of thermal biology	21526	7600115	J. Therm. Biol.	J Therm Biol	0306-4565	
The Knee	21527	9430798	Knee	Knee	0968-0160	1873-5800
Toxicology in vitro : an international journal published in association with BIBRA	21528	8712158	Toxicol In Vitro	Toxicol In Vitro	0887-2333	1879-3177
Urologic oncology	21529	9805460	Urol. Oncol.	Urol Oncol	1078-1439	1873-2496
The Astronomical journal	21531	100955716	Astron. J. (N. Y.)	Astron J	0004-6256	
The Astrophysical journal	21532	9890633	Astrophys. J.	Astrophys J	0004-637X	
The Astrophysical journal. Supplement series	21533	100955717	Astrophys. J., Suppl. Ser.	Astrophys J Suppl Ser	0067-0049	
The Journal of geology	21534	100955718	J. Geol.	J Geol	0022-1376	
Current anthropology	21536	0421035	Curr. Anthropol.	Curr Anthropol	0011-3204	1537-5382
The Journal of consumer research	21537	100955720	J. Consum. Res.	J Consum Res	0093-5301	
The Journal of modern history	21538	100955721	J Mod Hist	J Mod Hist	0022-2801	
Journal of biogeography	21539	0432556	J. Biogeogr.	J Biogeogr	0305-0270	1365-2699
Japanese journal of infectious diseases	21542	100893704	Jpn. J. Infect. Dis.	Jpn J Infect Dis	1344-6304	1884-2836
Invertebrate biology : a quarterly journal of the American Microscopical Society and the Division of Invertebrate Zoology/ASZ	21543	9514900	Invertebr. Biol.	Invertebr Biol	1077-8306	1744-7410
Evidence report/technology assessment (Summary)	21544	100890218	Evid Rep Technol Assess (Summ)	Evid Rep Technol Assess (Summ)	1530-440X	
Sao Paulo medical journal = Revista paulista de medicina	21546	100897261	Sao Paulo Med J	Sao Paulo Med J	1516-3180	1806-9460
Apidologie	21548	100955724	Apidologie (Celle)	Apidologie	0044-8435	1297-9678
Cloning	21551	100883430	Cloning	Cloning	1520-4553	
Diabetes technology & therapeutics	21552	100889084	Diabetes Technol. Ther.	Diabetes Technol Ther	1520-9156	1557-8593
Contributions to microbiology	21554	9815689	Contrib Microbiol	Contrib Microbiol	1420-9519	1662-291X
WMJ : official publication of the State Medical Society of Wisconsin	21556	9716054	WMJ	WMJ	1098-1861	
International journal of occupational safety and ergonomics : JOSE	21558	9507598	Int J Occup Saf Ergon	Int J Occup Saf Ergon	1080-3548	
Clinical cornerstone	21559	9816002	Clin Cornerstone	Clin Cornerstone	1098-3597	1873-4480
The Clinical neuropsychologist	21560	8806548	Clin Neuropsychol	Clin Neuropsychol	1385-4046	1744-4144
Drugs in R&D	21561	100883647	Drugs R D	Drugs R D	1174-5886	1179-6901
Eating and weight disorders : EWD	21562	9707113	Eat Weight Disord	Eat Weight Disord	1124-4909	1590-1262
The international tinnitus journal	21563	9612993	Int Tinnitus J	Int Tinnitus J	0946-5448	
Home healthcare nurse manager	21564	100884165	Home Healthc Nurse Manag	Home Healthc Nurse Manag	1520-5657	
Journal of epidemiology and biostatistics	21565	9611181	J Epidemiol Biostat	J Epidemiol Biostat	1359-5229	
Maternal and child health journal	21566	9715672	Matern Child Health J	Matern Child Health J	1092-7875	1573-6628
Methods in cell science : an official journal of the Society for In Vitro Biology	21567	9515839	Methods Cell Sci	Methods Cell Sci	1381-5741	
Psychonomic bulletin & review	21568	9502924	Psychon Bull Rev	Psychon Bull Rev	1069-9384	1531-5320
Sheng wu gong cheng xue bao = Chinese journal of biotechnology	21569	9426463	Sheng Wu Gong Cheng Xue Bao	Sheng Wu Gong Cheng Xue Bao	1000-3061	
Systematic parasitology	21570	8111384	Syst. Parasitol.	Syst Parasitol	0165-5752	1573-5192
Journal of molecular modeling	21571	9806569	J Mol Model	J Mol Model	1610-2940	0948-5023
European psychiatry : the journal of the Association of European Psychiatrists	21573	9111820	Eur. Psychiatry	Eur Psychiatry	0924-9338	1778-3585
Plant biosystems	21574	100955491	Plant Biosyst.	Plant Biosyst	1126-3504	
JBR-BTR : organe de la Societe royale belge de radiologie (SRBR) = orgaan van de Koninklijke Belgische Vereniging voor Radiologie (KBVR)	21575	100888280	JBR-BTR	JBR-BTR	0302-7430	
The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA)	21577	100892845	Chin J Dent Res	Chin J Dent Res	1462-6446	
Bailliere's best practice & research. Clinical rheumatology	21582	100883496	Baillieres Best Pract Res Clin Rheumatol	Baillieres Best Pract Res Clin Rheumatol		
Seton Hall law review	21583	100892382	Seton Hall Law Rev	Seton Hall Law Rev	0586-5964	
State legislatures	21584	100890177	State Legis	State Legis	0147-6041	
Journal of health law	21585	100883816	J Health Law	J Health Law	1526-2472	
Health law journal	21586	9804242	Health Law J	Health Law J	1192-8336	
Clinical privilege white paper	21587	100892390	Clin Privil White Pap	Clin Privil White Pap		
Professional development series (Chicago, Ill.)	21588	100891567	Prof Dev Ser (Chic Ill)	Prof Dev Ser (Chic Ill)		
Hospitals & health networks 360 degrees : H&HN 360 degrees	21589	100892665	Hosp Health Netw 360	Hosp Health Netw 360		
Genesis (New York, N.Y. : 2000)	21590	100931242	Genesis	Genesis	1526-954X	1526-968X
Journal of biochemistry and molecular biology	21591	9702084	J. Biochem. Mol. Biol.	J Biochem Mol Biol	1225-8687	0219-1024
Microbes and infection / Institut Pasteur	21592	100883508	Microbes Infect.	Microbes Infect	1286-4579	1769-714X
Surgical laparoscopy, endoscopy & percutaneous techniques	21595	100888751	Surg Laparosc Endosc Percutan Tech	Surg Laparosc Endosc Percutan Tech	1530-4515	1534-4908
Fiziolohichnyi zhurnal (Kiev, Ukraine : 1994)	21596	9601541	Fiziol Zh	Fiziol Zh		
Bailliere's best practice & research. Clinical gastroenterology	21598	100894206	Baillieres Best Pract Res Clin Gastroenterol	Baillieres Best Pract Res Clin Gastroenterol		
Journal of hematotherapy & stem cell research	21602	100892915	J. Hematother. Stem Cell Res.	J Hematother Stem Cell Res	1525-8165	
Alberta RN / Alberta Association of Registered Nurses	21603	100883278	Alta RN	Alta RN	1481-9988	
Healthy People 2000 statistics and surveillance / National Center for Health Statistics	21607	9315565	Healthy People 2000 Stat Surveill	Healthy People 2000 Stat Surveill		
Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society	21611	100909185	Liver Transpl.	Liver Transpl	1527-6465	1527-6473
Cryptogamie. Mycologie	21612	100961513	Cryptogam., Mycol.		0181-1584	
Evolution & development	21613	100883432	Evol. Dev.	Evol Dev	1520-541X	1525-142X
IUBMB life	21614	100888706	IUBMB Life	IUBMB Life	1521-6543	1521-6551
Applied soil ecology : a section of Agriculture, Ecosystems & Environment	21617	100961515	Agric., Ecosyst. Environ., Appl. Soil Ecol.	Appl Soil Ecol	0929-1393	
Care management journals : Journal of case management ; The journal of long term home health care	21618	100888264	Care Manag J	Care Manag J	1521-0987	
American journal of physiology. Heart and circulatory physiology	21619	100901228	Am. J. Physiol. Heart Circ. Physiol.	Am J Physiol Heart Circ Physiol	0363-6135	1522-1539
American journal of physiology. Regulatory, integrative and comparative physiology	21620	100901230	Am. J. Physiol. Regul. Integr. Comp. Physiol.	Am J Physiol Regul Integr Comp Physiol	0363-6119	1522-1490
American journal of physiology. Gastrointestinal and liver physiology	21621	100901227	Am. J. Physiol. Gastrointest. Liver Physiol.	Am J Physiol Gastrointest Liver Physiol	0193-1857	1522-1547
American journal of physiology. Endocrinology and metabolism	21622	100901226	Am. J. Physiol. Endocrinol. Metab.	Am J Physiol Endocrinol Metab	0193-1849	1522-1555
American journal of physiology. Cell physiology	21623	100901225	Am. J. Physiol., Cell Physiol.	Am J Physiol Cell Physiol	0363-6143	1522-1563
American journal of physiology. Lung cellular and molecular physiology	21624	100901229	Am. J. Physiol. Lung Cell Mol. Physiol.	Am J Physiol Lung Cell Mol Physiol	1040-0605	1522-1504
American journal of physiology. Renal physiology	21625	100901990	Am. J. Physiol. Renal Physiol.	Am J Physiol Renal Physiol	1931-857X	1522-1466
Advances in botanical research	21629	0000266	Adv. Bot. Res.	Adv Bot Res	0065-2296	
Amphibia-reptilia : publication of the Societas Europaea Herpetologica	21630	100961517	Amphib-reptil.		0173-5373	
Health & place	21632	9510067	Health Place	Health Place	1353-8292	1873-2054
Drug discovery today	21634	9604391	Drug Discov. Today	Drug Discov Today	1359-6446	1878-5832
Journal of cardiovascular pharmacology and therapeutics	21636	9602617	J. Cardiovasc. Pharmacol. Ther.	J Cardiovasc Pharmacol Ther	1074-2484	1940-4034
Genetics and molecular biology	21640	100883590	Genet. Mol. Biol.	Genet Mol Biol	1415-4757	1678-4685
Han'guk Nonghwa Hakhoe chi	21641	100961728	Hangug Nonghwahag Hoeji	Hanguk Nonghwa Hakhoe Chi	0368-2897	
European journal of pain (London, England)	21642	9801774	Eur J Pain	Eur J Pain	1090-3801	1532-2149
Evolutionary ecology research	21644	100961530	Evol. Ecol. Res.	Evol Ecol Res	1522-0613	1937-3791
Neuro-oncology	21645	100887420	Neuro-oncology	Neuro Oncol	1522-8517	1523-5866
Journal of Nippon Medical School = Nippon Ika Daigaku zasshi	21646	100935589	J Nippon Med Sch	J Nippon Med Sch	1345-4676	1347-3409
Diabete & metabolisme	21647	7604157	Diabete Metab	Diabete Metab	0338-1684	
Neoplasia (New York, N.Y.)	21648	100886622	Neoplasia	Neoplasia	1522-8002	1476-5586
Bailliere's best practice & research. Clinical obstetrics & gynaecology	21650	100890322	Baillieres Best Pract Res Clin Obstet Gynaecol	Baillieres Best Pract Res Clin Obstet Gynaecol		
European journal of medicinal chemistry	21651	0420510	Eur J Med Chem	Eur J Med Chem	0223-5234	1768-3254
Sante publique (Vandoeuvre-les-Nancy, France)	21653	9216153	Sante Publique	Sante Publique	0995-3914	2104-3841
Water environment research : a research publication of the Water Environment Federation	21654	9886167	Water Environ. Res.	Water Environ Res	1061-4303	1554-7531
JAAPA : official journal of the American Academy of Physician Assistants	21655	9513102	JAAPA	JAAPA	1547-1896	
Sleep medicine	21657	100898759	Sleep Med.	Sleep Med	1389-9457	1878-5506
Cancer biotherapy & radiopharmaceuticals	21658	9605408	Cancer Biother. Radiopharm.	Cancer Biother Radiopharm	1084-9785	1557-8852
Cancer control : journal of the Moffitt Cancer Center	21659	9438457	Cancer Control	Cancer Control	1073-2748	1526-2359
Journal of plankton research	21660	9882936	J. Plankton Res.	J Plankton Res	0142-7873	1464-3774
Clinical allergy and immunology	21661	9431211	Clin Allergy Immunol	Clin Allergy Immunol	1075-7910	2372-0441
Clinical laboratory	21662	9705611	Clin. Lab.	Clin Lab	1433-6510	
Developmental neuropsychology	21663	8702038	Dev Neuropsychol	Dev Neuropsychol	8756-5641	1532-6942
Drug delivery	21665	9417471	Drug Deliv	Drug Deliv	1071-7544	1521-0464
Dyslexia (Chichester, England)	21666	9511375	Dyslexia	Dyslexia	1076-9242	1099-0909
Health care management science	21667	9815649	Health Care Manag Sci	Health Care Manag Sci	1386-9620	
Journal of combinatorial chemistry	21668	100886263	J Comb Chem	J Comb Chem	1520-4766	1520-4774
The Israel Medical Association journal : IMAJ	21669	100930740	Isr. Med. Assoc. J.	Isr Med Assoc J	1565-1088	
Italian heart journal : official journal of the Italian Federation of Cardiology	21670	100909716	Ital Heart J	Ital Heart J	1129-471X	
Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43)	21671	8802265	J Fam Psychol	J Fam Psychol	0893-3200	1939-1293
The journal of gene medicine	21672	9815764	J Gene Med	J Gene Med	1099-498X	1521-2254
The journal of nutrition, health & aging	21673	100893366	J Nutr Health Aging	J Nutr Health Aging	1279-7707	1760-4788
Review of palaeobotany and palynology	21674	100961734	Rev. Palaeobot. Palynol.	Rev Palaeobot Palynol	0034-6667	
Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia	21675	8301215	Nefrologia	Nefrologia	0211-6995	1989-2284
Organic letters	21677	100890393	Org. Lett.	Org Lett	1523-7060	1523-7052
Psychological assessment	21678	8915253	Psychol Assess	Psychol Assess	1040-3590	1939-134X
Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors	21679	8802734	Psychol Addict Behav	Psychol Addict Behav	0893-164X	1939-1501
Seminars in dialysis	21681	8911629	Semin Dial	Semin Dial	0894-0959	1525-139X
BJOG : an international journal of obstetrics and gynaecology	21682	100935741	BJOG	BJOG	1470-0328	1471-0528
Freshwater biology	21683	100940627	Freshw. Biol.	Freshw Biol	0046-5070	1365-2427
Chemistry (Weinheim an der Bergstrasse, Germany)	21686	9513783	Chemistry	Chemistry	0947-6539	1521-3765
Nursing times. Nursing homes	21687	100890994	Nurs Times Nurs Homes	Nurs Times Nurs Homes		
Dong wu xue bao. [Acta zoologica Sinica]	21688	0032151	Dong Wu Xue Bao	Dong Wu Xue Bao	0001-7302	
Skin therapy letter	21689	9891441	Skin Therapy Lett.	Skin Therapy Lett	1201-5989	
The AIDS reader	21690	9206753	AIDS Read	AIDS Read	1053-0894	
Gynecologie, obstetrique & fertilite	21693	100936305	Gynecol Obstet Fertil	Gynecol Obstet Fertil	1297-9589	1769-6682
The Brazilian journal of infectious diseases : an official publication of the Brazilian Society of Infectious Diseases	21694	9812937	Braz J Infect Dis	Braz J Infect Dis	1413-8670	1678-4391
Colloids and surfaces. B, Biointerfaces	21696	9315133	Colloids Surf B Biointerfaces	Colloids Surf B Biointerfaces	0927-7765	1873-4367
Joint, bone, spine : revue du rhumatisme	21697	100938016	Joint Bone Spine	Joint Bone Spine	1297-319X	1778-7254
AIHAJ : a journal for the science of occupational and environmental health and safety	21698	100939625	AIHAJ	AIHAJ	1529-8663	
Nucleosides, nucleotides & nucleic acids	21699	100892832	Nucleosides Nucleotides Nucleic Acids	Nucleosides Nucleotides Nucleic Acids	1525-7770	1532-2335
Journal of midwifery & women's health	21700	100909407	J Midwifery Womens Health	J Midwifery Womens Health	1526-9523	1542-2011
Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists	21701	100896915	J. Endovasc. Ther.	J Endovasc Ther	1526-6028	1545-1550
Chirurgie de la main	21702	100937750	Chir Main	Chir Main	1297-3203	1769-6666
Hong Kong medical journal = Xianggang yi xue za zhi / Hong Kong Academy of Medicine	21703	9512509	Hong Kong Med J	Hong Kong Med J	1024-2708	
Seminars in neonatology : SN	21704	9606001	Semin Neonatol	Semin Neonatol	1084-2756	1532-2815
Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections / translated from Russian	21705	7505459	Dokl. Biol. Sci.	Dokl Biol Sci	0012-4966	1608-3105
Bioelectrochemistry (Amsterdam, Netherlands)	21707	100953583	Bioelectrochemistry	Bioelectrochemistry	1567-5394	1878-562X
Journal of health communication	21708	9604100	J Health Commun	J Health Commun	1081-0730	1087-0415
Soil biology & biochemistry	21709	0244736	Soil Biol. Biochem.	Soil Biol Biochem	0038-0717	
Journal of biomolecular screening	21710	9612112	J Biomol Screen	J Biomol Screen	1087-0571	1552-454X
The Cochrane database of systematic reviews	21711	100909747	Cochrane Database Syst Rev	Cochrane Database Syst Rev		1469-493X
Biomolecular engineering	21712	100928062	Biomol. Eng.	Biomol Eng	1389-0344	
Biofouling	21714	9200331	Biofouling	Biofouling	0892-7014	1029-2454
Revue roumaine de virologie	21715	7605718	Rev Roum Virol	Rev Roum Virol	0300-158X	
Die Infusionstherapie	21716	7613113	Infusionstherapie	Infusionstherapie	0301-3243	
Molecular plant pathology	21717	100954969	Mol. Plant Pathol.	Mol Plant Pathol	1464-6722	1364-3703
Cellular microbiology	21720	100883691	Cell. Microbiol.	Cell Microbiol	1462-5814	1462-5822
Phytopathologia mediterranea	21721	100955461	Phytopathol. Mediterr.	Phytopathol Mediterr	0031-9465	1593-2095
Biochemical engineering journal	21724	9891831	Biochem. Eng. J.	Biochem Eng J	1369-703X	
Journal of nursing scholarship : an official publication of Sigma Theta Tau International Honor Society of Nursing / Sigma Theta Tau	21727	100911591	J Nurs Scholarsh	J Nurs Scholarsh	1527-6546	1547-5069
JONA'S healthcare law, ethics and regulation	21728	100888423	JONAS Healthc Law Ethics Regul	JONAS Healthc Law Ethics Regul	1520-9229	1539-073X
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia	21730	9433352	J Clin Neurosci	J Clin Neurosci	0967-5868	1532-2653
Functional & integrative genomics	21734	100939343	Funct. Integr. Genomics	Funct Integr Genomics	1438-793X	1438-7948
Crop protection (Guildford, Surrey)	21735	9882988	Crop Prot.	Crop Prot	0261-2194	
Assistenza infermieristica e ricerca : AIR	21736	100901776	Assist Inferm Ric	Assist Inferm Ric	1592-5986	2038-1778
Journal of the International Academy of Periodontology	21737	100888553	J Int Acad Periodontol	J Int Acad Periodontol	1466-2094	
Maryland medicine : MM : a publication of MEDCHI, the Maryland State Medical Society	21738	100931679	Md Med	Md Med	1538-2656	
Journal of veterinary medicine. A, Physiology, pathology, clinical medicine	21739	100955112	J Vet Med A Physiol Pathol Clin Med	J Vet Med A Physiol Pathol Clin Med	0931-184X	1439-0442
Molecular urology	21740	9709255	Mol Urol	Mol Urol	1091-5362	
Nephrology nursing journal : journal of the American Nephrology Nurses' Association	21742	100909377	Nephrol Nurs J	Nephrol Nurs J	1526-744X	
African journal of herpetology : journal of the Herpetological Association of Africa	21744	100957463	Afr. J. Herpetol.	Afr J Herpetol	2156-4574	2153-3660
Medicare brief / National Academy of Social Insurance	21745	100899263	Medicare Brief	Medicare Brief		
European food research and technology = Zeitschrift fur Lebensmittel-Untersuchung und -Forschung. A	21746	100957634	Eur. Food Res. Technol.	Eur Food Res Technol	1438-2377	
Bailliere's best practice & research. Clinical haematology	21747	100900679	Baillieres Best Pract. Res. Clin. Haematol.	Baillieres Best Pract Res Clin Haematol		
Comparative medicine	21748	100900466	Comp. Med.	Comp Med	1532-0820	
Pneumologia (Bucharest, Romania)	21749	100941067	Pneumologia	Pneumologia	2067-2993	
Nature immunology	21750	100941354	Nat. Immunol.	Nat Immunol	1529-2908	1529-2916
European journal of applied physiology	21751	100954790	Eur. J. Appl. Physiol.	Eur J Appl Physiol	1439-6319	1439-6327
Journal of veterinary medicine. B, Infectious diseases and veterinary public health	21752	100955260	J. Vet. Med. B Infect. Dis. Vet. Public Health	J Vet Med B Infect Dis Vet Public Health	0931-1793	1439-0450
Advances in physiology education	21755	100913944	Adv Physiol Educ	Adv Physiol Educ	1043-4046	1522-1229
In vitro & molecular toxicology	21757	9808800	In Vitr Mol Toxicol	In Vitr Mol Toxicol	1097-9336	
Journal of bioscience and bioengineering	21758	100888800	J. Biosci. Bioeng.	J Biosci Bioeng	1389-1723	1347-4421
International journal of sport nutrition and exercise metabolism	21759	100939812	Int J Sport Nutr Exerc Metab	Int J Sport Nutr Exerc Metab	1526-484X	1543-2742
Forschende Komplementarmedizin und klassische Naturheilkunde = Research in complementary and natural classical medicine	21760	100958201	Forsch Komplementarmed Klass Naturheilkd	Forsch Komplementarmed Klass Naturheilkd	1424-7364	
Mouth (American Student Dental Association)	21761	100939354	Mouth	Mouth	1529-5044	
Journal of orthodontics	21762	100957268	J Orthod	J Orthod	1465-3125	1465-3133
MedGenMed : Medscape general medicine	21763	100894134	MedGenMed	MedGenMed		1531-0132
Symposium series (Society for Applied Microbiology)	21766	100892834	Symp Ser Soc Appl Microbiol	Symp Ser Soc Appl Microbiol	1467-4734	
Environmental science & technology	21768	0213155	Environ. Sci. Technol.	Environ Sci Technol	0013-936X	1520-5851
Alcohol research & health : the journal of the National Institute on Alcohol Abuse and Alcoholism	21770	100900708	Alcohol Res Health	Alcohol Res Health	1535-7414	1930-0573
The Case manager	21771	9305123	Case Manager	Case Manager	1061-9259	1532-6527
CIN plus	21772	100883848	CIN Plus	CIN Plus	1098-7126	
Down's syndrome, research and practice : the journal of the Sarah Duffen Centre / University of Portsmouth	21773	9508122	Downs Syndr Res Pract	Downs Syndr Res Pract	0968-7912	1753-7606
Nursing & health sciences	21775	100891857	Nurs Health Sci	Nurs Health Sci	1441-0745	1442-2018
School nurse news	21776	100956395	School Nurse News	School Nurse News	1080-7543	
Food microbiology	21777	8601127	Food Microbiol.	Food Microbiol	0740-0020	1095-9998
Klinicheskaia khirurgiia	21778	0376360	Klin Khir	Klin Khir		
Anesthesiology clinics of North America	21779	8810131	Anesthesiol Clin North America	Anesthesiol Clin North America	0889-8537	1558-4259
Applied immunohistochemistry & molecular morphology : AIMM / official publication of the Society for Applied Immunohistochemistry	21780	100888796	Appl. Immunohistochem. Mol. Morphol.	Appl Immunohistochem Mol Morphol	1541-2016	1533-4058
Archives of facial plastic surgery	21781	100883500	Arch Facial Plast Surg	Arch Facial Plast Surg	1521-2491	1538-3660
Epileptic disorders : international epilepsy journal with videotape	21782	100891853	Epileptic Disord	Epileptic Disord	1294-9361	1950-6945
Ernst Schering Research Foundation workshop	21783	9422786	Ernst Schering Res. Found. Workshop	Ernst Schering Res Found Workshop	0947-6075	
Health communication	21784	8908762	Health Commun	Health Commun	1041-0236	1532-7027
Journal of agricultural safety and health	21785	9613956	J Agric Saf Health	J Agric Saf Health	1074-7583	
Journal of biomedical optics	21786	9605853	J Biomed Opt	J Biomed Opt	1083-3668	1560-2281
Journal of experimental psychology. Applied	21787	9507618	J Exp Psychol Appl	J Exp Psychol Appl	1076-898X	1939-2192
Journal of pharmacy & pharmaceutical sciences : a publication of the Canadian Society for Pharmaceutical Sciences, Societe canadienne des sciences pharmaceutiques	21788	9807281	J Pharm Pharm Sci	J Pharm Pharm Sci		1482-1826
Logopedics, phoniatrics, vocology	21789	9617311	Logoped Phoniatr Vocol	Logoped Phoniatr Vocol	1401-5439	1651-2022
Medicine, health care, and philosophy	21790	9815900	Med Health Care Philos	Med Health Care Philos	1386-7423	1572-8633
Mental retardation and developmental disabilities research reviews	21791	9517974	Ment Retard Dev Disabil Res Rev	Ment Retard Dev Disabil Res Rev	1080-4013	1098-2779
Metabolic engineering	21792	9815657	Metab. Eng.	Metab Eng	1096-7176	1096-7184
Molecular therapy : the journal of the American Society of Gene Therapy	21793	100890581	Mol. Ther.	Mol Ther	1525-0016	1525-0024
Neural networks : the official journal of the International Neural Network Society	21795	8805018	Neural Netw	Neural Netw	0893-6080	1879-2782
Neuropathology : official journal of the Japanese Society of Neuropathology	21796	9606526	Neuropathology	Neuropathology	0919-6544	1440-1789
Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	21797	9815751	Nicotine Tob. Res.	Nicotine Tob Res	1462-2203	1469-994X
Paediatric drugs	21798	100883685	Paediatr Drugs	Paediatr Drugs	1174-5878	1179-2019
Pituitary	21800	9814578	Pituitary	Pituitary	1386-341X	1573-7403
Platelets	21801	9208117	Platelets	Platelets	0953-7104	1369-1635
Psychological methods	21802	9606928	Psychol Methods	Psychol Methods	1082-989X	1939-1463
Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence	21803	9512515	Child Neuropsychol	Child Neuropsychol	0929-7049	1744-4136
